itemId|category
204180841|Showerheads
204787995|Ceiling Fans
205611220|Showerheads
206970462|Vanity Lighting
206347538|Chandeliers
202645517|Vanity Lighting
206878143|Vanity Lighting
206560056|Chandeliers
202754998|Ceiling Fans
301052853|Floor Lamps
206887813|Chandeliers
204745285|Chandeliers
206051957|Chandeliers
205580416|Ceiling Fans
203365616|Vanity Lighting
205958608|Vanity Lighting
205181118|Single Handle Bathroom Sink Faucets
205320594|Ceiling Fans
202749664|Vanity Lighting
202516880|Chandeliers
205972721|Ceiling Fans
206756201|Showerheads
205805144|Vanity Lighting
203155380|Single Handle Bathroom Sink Faucets
202813464|Single Handle Bathroom Sink Faucets
202503755|Chandeliers
300959535|Vanity Lighting
203788136|Ceiling Fans
206686242|Showerheads
203411016|Floor Lamps
206849739|Chandeliers
203365400|Vanity Lighting
300832841|Chandeliers
100469405|Chandeliers
206205570|Ceiling Fans
205756006|Vanity Lighting
205208114|Showerheads
206354451|Chandeliers
204147923|Vanity Lighting
204300054|Chandeliers
202837842|Ceiling Fans
205670489|Chandeliers
206410337|Vanity Lighting
206961734|Vanity Lighting
202021522|Chandeliers
205479588|Single Handle Bathroom Sink Faucets
207013666|Single Handle Bathroom Sink Faucets
206509636|Vanity Lighting
100636593|Vanity Lighting
300946173|Floor Lamps
202106757|Floor Lamps
206466050|Single Handle Bathroom Sink Faucets
206213527|Ceiling Fans
205387307|Showerheads
204707682|Vanity Lighting
204217087|Chandeliers
202849928|Vanity Lighting
206051938|Floor Lamps
205584671|Chandeliers
205673650|Chandeliers
300584893|Vanity Lighting
205670554|Chandeliers
206892666|Ceiling Fans
203744910|Vanity Lighting
204351769|Single Handle Bathroom Sink Faucets
300585411|Ceiling Fans
203452269|Vanity Lighting
207015791|Vanity Lighting
300056582|Showerheads
300217642|Vanity Lighting
206207501|Chandeliers
206961771|Vanity Lighting
300273663|Chandeliers
204406654|Chandeliers
203093016|Showerheads
206362450|Ceiling Fans
206851446|Chandeliers
300366483|Vanity Lighting
205805153|Vanity Lighting
205867909|Chandeliers
202749638|Chandeliers
205914571|Vanity Lighting
206878452|Vanity Lighting
206770667|Chandeliers
206802497|Ceiling Fans
205000023|Ceiling Fans
203143374|Single Handle Bathroom Sink Faucets
202054233|Chandeliers
207013664|Single Handle Bathroom Sink Faucets
204306680|Ceiling Fans
206757175|Ceiling Fans
206465954|Showerheads
202503746|Chandeliers
202943394|Ceiling Fans
205300703|Floor Lamps
203910148|Chandeliers
202837858|Ceiling Fans
206202642|Vanity Lighting
206962138|Vanity Lighting
205057401|Vanity Lighting
205935475|Chandeliers
300383681|Ceiling Fans
202520092|Ceiling Fans
202700340|Chandeliers
301225372|Vanity Lighting
300366522|Vanity Lighting
204216892|Chandeliers
300959625|Vanity Lighting
203452329|Chandeliers
206997873|Chandeliers
205799495|Single Handle Bathroom Sink Faucets
204407380|Vanity Lighting
203836935|Chandeliers
206623679|Chandeliers
300622690|Single Handle Bathroom Sink Faucets
300834550|Chandeliers
301285603|Single Handle Bathroom Sink Faucets
205314230|Floor Lamps
203553582|Single Handle Bathroom Sink Faucets
206962105|Vanity Lighting
203690305|Ceiling Fans
203662819|Floor Lamps
300513027|Chandeliers
100636062|Chandeliers
301185099|Vanity Lighting
203365599|Vanity Lighting
203264360|Chandeliers
207031624|Vanity Lighting
204147582|Ceiling Fans
204398010|Vanity Lighting
204398019|Vanity Lighting
206407320|Chandeliers
300636253|Floor Lamps
205933827|Chandeliers
203090301|Vanity Lighting
206852041|Vanity Lighting
204468796|Ceiling Fans
204653819|Vanity Lighting
205807807|Showerheads
203355725|Vanity Lighting
202410482|Vanity Lighting
204156797|Showerheads
203690345|Ceiling Fans
202047145|Vanity Lighting
300091119|Ceiling Fans
206052090|Chandeliers
203910172|Chandeliers
202046821|Chandeliers
100027290|Chandeliers
205320695|Ceiling Fans
202106657|Floor Lamps
203910153|Chandeliers
203910395|Vanity Lighting
205314183|Floor Lamps
205805166|Vanity Lighting
202700326|Chandeliers
203953621|Chandeliers
202022743|Chandeliers
203366091|Vanity Lighting
206961728|Vanity Lighting
206278842|Ceiling Fans
203367632|Vanity Lighting
204365495|Floor Lamps
205932868|Chandeliers
203265077|Showerheads
300366864|Chandeliers
100635982|Chandeliers
204407411|Vanity Lighting
202217436|Vanity Lighting
203452224|Chandeliers
205798594|Vanity Lighting
204360490|Ceiling Fans
205208110|Showerheads
300271632|Vanity Lighting
205933859|Chandeliers
204224805|Chandeliers
202564454|Vanity Lighting
100469076|Chandeliers
203081056|Floor Lamps
300512661|Chandeliers
202899776|Showerheads
203466190|Showerheads
202188182|Vanity Lighting
202851599|Chandeliers
202099452|Showerheads
100636669|Chandeliers
206991966|Chandeliers
203136411|Ceiling Fans
301127203|Chandeliers
206810911|Vanity Lighting
206407355|Vanity Lighting
203453338|Chandeliers
203356107|Vanity Lighting
205220319|Chandeliers
206404353|Vanity Lighting
203178704|Single Handle Bathroom Sink Faucets
204320401|Chandeliers
204739880|Chandeliers
100665884|Ceiling Fans
100467025|Ceiling Fans
301225364|Vanity Lighting
203595062|Ceiling Fans
202645519|Vanity Lighting
206144163|Chandeliers
205865377|Chandeliers
301200362|Vanity Lighting
301200070|Vanity Lighting
300470270|Showerheads
204707830|Vanity Lighting
203178703|Single Handle Bathroom Sink Faucets
205567979|Chandeliers
204372113|Floor Lamps
202997464|Chandeliers
100441514|Ceiling Fans
206695887|Single Handle Bathroom Sink Faucets
206161247|Chandeliers
203451904|Vanity Lighting
204706878|Showerheads
301038319|Chandeliers
300441726|Single Handle Bathroom Sink Faucets
205804790|Ceiling Fans
206961724|Vanity Lighting
203201896|Single Handle Bathroom Sink Faucets
204163230|Ceiling Fans
202886492|Ceiling Fans
301200097|Vanity Lighting
205137240|Chandeliers
202648901|Chandeliers
205972251|Chandeliers
301200022|Vanity Lighting
206312826|Vanity Lighting
300776217|Floor Lamps
202659506|Vanity Lighting
204627416|Showerheads
300051928|Showerheads
205905836|Vanity Lighting
205321565|Vanity Lighting
202750515|Floor Lamps
206770702|Chandeliers
100641385|Chandeliers
205036705|Floor Lamps
204770459|Single Handle Bathroom Sink Faucets
300715063|Showerheads
203745335|Single Handle Bathroom Sink Faucets
100469355|Chandeliers
206273220|Floor Lamps
100636205|Ceiling Fans
205443289|Vanity Lighting
205461796|Chandeliers
205941382|Showerheads
205137851|Chandeliers
205531595|Floor Lamps
301185103|Vanity Lighting
203960305|Chandeliers
100685631|Single Handle Bathroom Sink Faucets
203452259|Chandeliers
203535560|Vanity Lighting
206159630|Vanity Lighting
204147574|Ceiling Fans
206887093|Floor Lamps
206810929|Vanity Lighting
203574003|Vanity Lighting
206279892|Ceiling Fans
203675534|Single Handle Bathroom Sink Faucets
202352143|Vanity Lighting
203744913|Vanity Lighting
202650661|Chandeliers
203452763|Chandeliers
205661955|Ceiling Fans
203228970|Chandeliers
204251608|Showerheads
203662879|Chandeliers
300366503|Vanity Lighting
206467618|Chandeliers
205218355|Ceiling Fans
301198772|Vanity Lighting
300974550|Floor Lamps
205884895|Single Handle Bathroom Sink Faucets
203553580|Single Handle Bathroom Sink Faucets
203228986|Chandeliers
205801567|Vanity Lighting
205948445|Vanity Lighting
206786185|Single Handle Bathroom Sink Faucets
205384100|Vanity Lighting
202645495|Vanity Lighting
203953669|Chandeliers
206991885|Chandeliers
301671079|Chandeliers
300411284|Vanity Lighting
204230630|Chandeliers
204850517|Ceiling Fans
100636444|Vanity Lighting
206997336|Chandeliers
202740914|Vanity Lighting
300028331|Ceiling Fans
204406660|Vanity Lighting
206655185|Vanity Lighting
203806365|Ceiling Fans
202642617|Vanity Lighting
203910375|Vanity Lighting
204329560|Chandeliers
204676283|Showerheads
206407347|Chandeliers
203144566|Vanity Lighting
204329298|Chandeliers
204850217|Vanity Lighting
205670389|Vanity Lighting
203594943|Ceiling Fans
205300840|Floor Lamps
300516265|Floor Lamps
206810935|Vanity Lighting
204850421|Chandeliers
202054224|Vanity Lighting
202022450|Vanity Lighting
205800922|Vanity Lighting
203452449|Chandeliers
204217105|Chandeliers
203535501|Vanity Lighting
203023212|Ceiling Fans
203090130|Vanity Lighting
206029054|Chandeliers
202217305|Ceiling Fans
205644687|Floor Lamps
204304645|Ceiling Fans
203016934|Showerheads
205742205|Ceiling Fans
206312827|Chandeliers
206405299|Floor Lamps
205311624|Chandeliers
202725007|Ceiling Fans
203690337|Ceiling Fans
205390623|Vanity Lighting
205611036|Floor Lamps
100636153|Chandeliers
204633880|Chandeliers
205547400|Ceiling Fans
205815757|Chandeliers
202503642|Chandeliers
206847704|Chandeliers
205057330|Vanity Lighting
204147770|Chandeliers
205300791|Floor Lamps
206591087|Ceiling Fans
206878442|Chandeliers
202700548|Vanity Lighting
204147762|Chandeliers
203014134|Showerheads
100636119|Vanity Lighting
204809859|Chandeliers
206410075|Chandeliers
207200744|Ceiling Fans
203960304|Chandeliers
203452427|Chandeliers
204163265|Ceiling Fans
207197045|Single Handle Bathroom Sink Faucets
206635728|Vanity Lighting
205670407|Vanity Lighting
300052820|Ceiling Fans
206476886|Ceiling Fans
100632157|Ceiling Fans
206410192|Chandeliers
203090184|Chandeliers
206752221|Chandeliers
203859621|Vanity Lighting
300960072|Single Handle Bathroom Sink Faucets
204385926|Showerheads
301192671|Ceiling Fans
206752253|Vanity Lighting
100636550|Chandeliers
205882898|Vanity Lighting
204346479|Vanity Lighting
202999361|Chandeliers
205479585|Single Handle Bathroom Sink Faucets
202388452|Showerheads
100469188|Chandeliers
100013425|Floor Lamps
204664256|Vanity Lighting
203452225|Chandeliers
300065484|Single Handle Bathroom Sink Faucets
206775192|Ceiling Fans
100642135|Showerheads
300423123|Floor Lamps
203832457|Vanity Lighting
205932834|Vanity Lighting
205916446|Ceiling Fans
206200663|Showerheads
205404993|Vanity Lighting
203960209|Chandeliers
203452307|Chandeliers
202755017|Ceiling Fans
202021527|Chandeliers
100636600|Vanity Lighting
202054200|Vanity Lighting
202359780|Single Handle Bathroom Sink Faucets
207086812|Chandeliers
203953655|Chandeliers
203452478|Chandeliers
203229086|Vanity Lighting
205971285|Chandeliers
202076087|Floor Lamps
300076245|Vanity Lighting
300525190|Vanity Lighting
203908535|Floor Lamps
204859032|Vanity Lighting
205805076|Ceiling Fans
